rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/std,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
301.0,240,491520,2041,816.9492,60,20425.065673828125,0.0,-5.67556084394455,-0.00012030987127218396,8.344650268554688e-07,0.2,590,9805.64453125,0.9999448657035828,1e-05,1.3450721e-05,,
301.0,240,499712,2074,787.58984,61,27251.653173828126,0.0,-5.675508761405945,-0.00010761016092146747,7.748603820800781e-07,0.2,600,13918.0234375,0.9999366998672485,1e-05,1.47383835e-05,,
301.0,241,507904,2106,805.7447,62,25282.69814453125,0.0,-5.675476324558258,-3.565298393368721e-05,1.7881393432617188e-07,0.2,610,9547.859375,0.9999263286590576,1e-05,5.2355463e-06,,
301.0,241,516096,2139,767.1141,63,16186.097680664063,0.0,-5.675438344478607,-0.0001002146687824279,5.960464477539062e-07,0.2,620,7627.5068359375,0.9999198913574219,1e-05,1.5338082e-05,,
301.0,241,524288,2172,816.6761,64,18222.937548828126,0.0,-5.675448107719421,-0.00012431353679858147,5.960464477539062e-07,0.2,630,10180.2451171875,0.9999340772628784,1e-05,1.778877e-05,,
301.0,241,532480,2204,857.46826,65,24796.303759765626,0.0,-5.675493311882019,-4.0363104199059306e-05,7.152557373046875e-07,0.2,640,11274.08203125,0.9999359250068665,1e-05,6.398892e-06,,
301.0,241,540672,2237,919.23083,66,22716.595654296874,0.0,-5.675498926639557,-6.318242521956563e-05,2.980232238769531e-07,0.2,650,12378.9736328125,0.999941349029541,1e-05,7.4443815e-06,,
301.0,241,548864,2270,890.30396,67,33320.05756835938,0.0,-5.675535726547241,-5.360991344787181e-05,1.7881393432617188e-07,0.2,660,18308.177734375,0.9999538660049438,1e-05,5.6857607e-06,,
301.0,241,557056,2304,904.81445,68,11661.87646484375,0.0,-5.67559427022934,-0.00011489159369375557,7.152557373046875e-07,0.2,670,6541.57568359375,0.999969482421875,1e-05,2.4314628e-05,,
301.0,241,565248,2337,948.1498,69,31286.223095703124,0.0,-5.6756290078163145,-8.727013191673904e-05,4.172325134277344e-07,0.2,680,17094.00390625,0.9999687671661377,1e-05,1.19144315e-05,,
301.0,241,573440,2370,962.8552,70,30121.81162109375,0.0,-5.675606834888458,-0.00014320305781438946,6.556510925292969e-07,0.2,690,14828.841796875,0.9999597072601318,1e-05,1.6765938e-05,,
301.0,241,581632,2403,1004.2623,71,31563.78857421875,0.0,-5.675591826438904,-5.263284547254443e-05,2.980232238769531e-07,0.2,700,16088.859375,0.9999650716781616,1e-05,7.0804163e-06,,
301.0,242,589824,2436,972.6323,72,27964.011962890625,0.0,-5.675593996047974,-6.106268265284597e-05,2.384185791015625e-07,0.2,710,12324.0029296875,0.9999551773071289,1e-05,6.180002e-06,,
301.0,242,598016,2469,949.8936,73,19448.838671875,0.0,-5.675579082965851,-3.206467081326991e-05,3.5762786865234375e-07,0.2,720,9358.8349609375,0.9999644756317139,1e-05,5.8518053e-06,,
301.0,242,606208,2503,910.6294,74,23483.4431640625,0.0,-5.675607299804687,-2.356822369620204e-05,3.5762786865234375e-07,0.2,730,10021.919921875,0.9999621510505676,1e-05,4.271198e-06,,
301.0,242,614400,2536,856.5954,75,23788.20205078125,0.0,-5.675582838058472,-4.266281030140817e-05,5.364418029785156e-07,0.2,740,9749.556640625,0.9999547004699707,1e-05,5.534923e-06,,
301.0,242,622592,2568,824.1816,76,17833.85920410156,0.0,-5.6755417585372925,-0.0001120153465308249,2.384185791015625e-07,0.2,750,8611.2822265625,0.9999412298202515,1e-05,2.2938912e-05,,
301.0,242,630784,2601,855.8003,77,24752.516015625,0.0,-5.675481855869293,-0.00011800270585808903,2.384185791015625e-07,0.2,760,13027.9052734375,0.9999246597290039,1e-05,1.9090054e-05,,
301.0,242,638976,2633,922.0631,78,27105.06591796875,0.0,-5.675437974929809,-0.00011110954219475388,2.980232238769531e-07,0.2,770,13119.953125,0.999923586845398,1e-05,1.3736033e-05,,
301.0,242,647168,2666,938.174,79,32230.1578125,0.0,-5.675442683696747,-2.6801074272952975e-05,5.960464477539063e-08,0.2,780,19450.51171875,0.999923825263977,1e-05,4.5893103e-06,,
301.0,242,655360,2699,974.1454,80,19071.191552734374,0.0,-5.6754339098930355,-6.654837634414434e-05,3.5762786865234375e-07,0.2,790,11086.9267578125,0.9999188184738159,1e-05,1.320726e-05,,
301.0,242,663552,2732,908.61017,81,31344.59677734375,0.0,-5.675433003902436,-2.2844346676720307e-05,1.1920928955078125e-07,0.2,800,15533.4033203125,0.9999261498451233,1e-05,4.164285e-06,,
301.0,242,671744,2764,825.54706,82,20795.240795898437,0.0,-5.675403559207917,-0.0001025800796924159,5.364418029785156e-07,0.2,810,8824.3759765625,0.9998943209648132,1e-05,1.7850994e-05,,
301.0,243,679936,2797,851.37726,83,17316.090966796874,0.0,-5.675314569473267,-0.0001866453589173034,2.384185791015625e-07,0.2,820,9923.4208984375,0.9998966455459595,1e-05,3.9437837e-05,,
301.0,243,688128,2831,833.258,84,20264.50556640625,0.0,-5.675322329998016,-0.00022605101839872076,5.364418029785156e-07,0.2,830,11207.6240234375,0.9998871088027954,1e-05,4.6408677e-05,,
301.0,243,696320,2863,892.25494,85,24914.56640625,0.0,-5.675291419029236,-0.00013937078037997707,3.5762786865234375e-07,0.2,840,15099.6640625,0.9998881816864014,1e-05,2.8723589e-05,,
301.0,243,704512,2897,979.36,86,28887.36396484375,0.0,-5.675290310382843,-0.0001356581808067858,2.980232238769531e-07,0.2,850,14342.1787109375,0.999881386756897,1e-05,2.4440611e-05,,
301.0,243,712704,2930,1042.1433,87,30469.031884765624,0.0,-5.6752833247184755,-0.00012078315194230527,3.5762786865234375e-07,0.2,860,16103.4326171875,0.9998903870582581,1e-05,1.7849648e-05,,
301.0,243,720896,2963,1037.1097,88,36156.1876953125,0.0,-5.6753216028213505,-7.608587620779871e-05,5.960464477539063e-08,0.2,870,18848.03125,0.9998960494995117,1e-05,1.0962838e-05,,
301.0,243,729088,2996,1011.84924,89,19710.02473144531,0.0,-5.6753327488899235,-8.020018576644361e-05,1.1920928955078125e-07,0.2,880,9026.947265625,0.999896764755249,1e-05,1.8514074e-05,,
301.0,243,737280,3030,1012.68896,90,23251.56826171875,0.0,-5.675300681591034,-4.139771044719964e-05,0.0,0.2,890,11976.3759765625,0.9998760223388672,1e-05,9.66635e-06,,
301.0,243,745472,3063,944.3361,91,33054.87006835938,0.0,-5.675203204154968,-0.0001233747840160504,1.1920928955078125e-07,0.2,900,16624.875,0.9998522996902466,1e-05,1.862122e-05,,
301.0,243,753664,3097,995.84546,92,26815.969091796876,0.0,-5.675137531757355,-0.00010611290927045047,0.0,0.2,910,13426.2529296875,0.9998452663421631,1e-05,2.1370928e-05,,
301.0,243,761856,3130,953.51843,93,27306.158984375,0.0,-5.675118696689606,-0.00012919120490550995,1.7881393432617188e-07,0.2,920,12735.123046875,0.9998406171798706,1e-05,2.3409571e-05,,
301.0,243,770048,3163,916.2159,94,21838.532470703125,0.0,-5.675107705593109,-0.00028136050677858294,2.980232238769531e-07,0.2,930,10307.6552734375,0.9998420476913452,1e-05,5.7691526e-05,,
