time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/std,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
259,352.91757,868352,106,301.0,3342,0.8759700506925583,0.2,-6.296200590441003e-05,1050,6743.63037109375,0.0,13327.839968872071,0.001,0.9288811683654785,-5.379233075678348,0.0005327156,,
259,377.4785,876544,107,301.0,3372,0.7876169234514236,0.2,-0.0003743389035662403,1060,5723.60693359375,0.0,14343.452838134766,0.001,0.9285444617271423,-5.37665165066719,0.0007992205,,
259,411.76913,884736,108,301.0,3403,0.8688712120056152,0.2,-0.00046217116541811263,1070,7687.2734375,0.0,17368.43074569702,0.001,0.9277856945991516,-5.374989552795887,0.0007208893,,
260,425.0878,892928,109,301.0,3433,0.804746463894844,0.2,-0.0007336763002967928,1080,21802.04296875,0.00023193359375,32423.123078918456,0.001,0.9287710189819336,-5.375039945542812,0.0015695733,,
260,494.09805,901120,110,301.0,3463,0.8827570304274559,0.2,-0.0005943908105109586,1090,4690.724609375,7.32421875e-05,17530.92451324463,0.001,0.9275549054145813,-5.375918428599834,0.001628315,,
260,453.2916,909312,111,301.0,3494,0.8731711655855179,0.2,-0.00011962253993260674,1100,8498.990234375,0.0,20660.158905029297,0.001,0.9257334470748901,-5.368184527754783,0.00019326102,,
260,420.9636,917504,112,301.0,3524,0.8720089197158813,0.2,-0.0004209962728054961,1110,7443.9033203125,3.662109375e-05,19816.83641052246,0.001,0.9260208010673523,-5.365109932422638,0.00069669075,,
260,462.88095,925696,113,301.0,3554,0.9133078008890152,0.2,-0.00014454440424742642,1120,5175.29736328125,0.0,17733.640413665773,0.001,0.9257376790046692,-5.365863455832004,0.00026169178,,
260,505.94937,933888,114,301.0,3585,0.9275886192917824,0.2,-0.00017427868187951389,1130,4057.098876953125,0.0,15051.476560211182,0.001,0.9258729815483093,-5.364647881686688,0.0005345858,,
260,521.18896,942080,115,301.0,3615,0.9159400314092636,0.2,-0.00015999676688807085,1140,8353.8486328125,0.0,16883.27737045288,0.001,0.925359845161438,-5.363824661076069,0.0007233091,,
260,454.6337,950272,116,301.0,3645,0.9220807179808617,0.2,-8.430454072367865e-05,1150,5057.318359375,2.44140625e-05,13894.68313369751,0.001,0.9261221289634705,-5.364559312164784,0.0006636898,,
260,413.0444,958464,117,301.0,3676,0.9157253503799438,0.2,-0.0006994876192038646,1160,5402.5009765625,7.32421875e-05,18312.763136291505,0.001,0.9260431528091431,-5.366370928287506,0.0013773597,,
260,339.45056,966656,118,301.0,3706,0.9327187463641167,0.2,-0.00047830027069721836,1170,4514.75830078125,0.00130615234375,13395.21325454712,0.001,0.9289044141769409,-5.373078420758247,0.001781719,,
260,304.98578,974848,119,301.0,3736,0.9377194046974182,0.2,-0.0009433299503143644,1180,2379.793212890625,0.0003173828125,9701.394663619994,0.001,0.9279248714447021,-5.3766162797808645,0.0020601954,,
260,346.74765,983040,120,301.0,3767,0.9038552939891815,0.2,-0.00013668345745827538,1190,23514.326171875,0.0,15012.910626220702,0.001,0.9287691712379456,-5.375709570944309,0.0003494065,,
260,354.84546,991232,121,301.0,3797,0.8938551768660545,0.2,1.1788119081757031e-05,1200,20639.724609375,0.0,15537.6294380188,0.001,0.9287978410720825,-5.378253217041492,0.00024015622,,
261,362.5816,999424,122,301.0,3828,0.8775331974029541,0.2,-0.0004372758477984462,1210,7521.2568359375,0.0,16360.570011901855,0.001,0.9295360445976257,-5.380429847538471,0.0006329344,,
261,396.43768,1007616,123,301.0,3858,0.9034853056073189,0.2,-0.0003760715077078203,1220,7495.28857421875,0.0,16123.209678649902,0.001,0.9297820329666138,-5.382401387393474,0.00046466454,,
