rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/std,train/loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
1147.31,9038.587,254,73,4704,1196032,-1.811638312600553,0.10054931640625,0.2,3190,0.5504671037197113,0.009304421,0.0003,0.00026930319963867075,0.3813253939151764,5464.53857421875,12661.252443504334,,
1196.19,9505.63,254,74,4768,1212416,-1.8067131193354726,0.11346435546875,0.2,3200,0.5439871251583099,0.009934597,0.0003,-0.0007957427224027924,0.3807060122489929,2554.36865234375,12236.822885894775,,
1231.29,8550.088,254,75,4837,1228800,-1.8027462750673293,0.075726318359375,0.2,3210,0.6204904615879059,0.0077064317,0.0003,0.0006440111970732687,0.3806261122226715,3506.93408203125,15172.304563903808,,
1226.16,8434.633,254,76,4900,1245184,-1.801639865525067,0.14417724609375,0.2,3220,0.46197235584259033,0.012405175,0.0003,0.004467192066113057,0.38046345114707947,2895.363525390625,622522.4097887039,,
1205.69,6848.85,254,77,4966,1261568,-1.7998478858731688,0.09964599609375,0.2,3230,0.39907997846603394,0.00861058,0.0003,-3.055830438825069e-06,0.3803422451019287,2138.818603515625,16575.451141357422,,
1134.69,5888.6387,254,78,5030,1277952,-1.7996047155931592,0.119793701171875,0.2,3240,0.6534714996814728,0.010780109,0.0003,0.002174153497799125,0.38040271401405334,23955.083984375,536496.2911518097,,
1105.03,5761.469,253,79,5096,1294336,-1.7989617218263447,0.0892333984375,0.2,3250,0.7546495348215103,0.008313615,0.0003,0.0006284239898377564,0.3801916837692261,120625.6640625,77361.25732498169,,
1104.76,5648.915,253,80,5160,1310720,-1.7976152755320072,0.110693359375,0.2,3260,0.7548437863588333,0.010078536,0.0003,0.0013649730037286645,0.3801692724227905,3372.118896484375,18373.312265205383,,
1063.18,5290.6606,253,81,5226,1327104,-1.7971496048383415,0.090655517578125,0.2,3270,0.784568190574646,0.0088449195,0.0003,-0.0018016414704106864,0.38011685013771057,76869.8203125,56562.30571022034,,
1014.44,6127.339,254,82,5289,1343488,-1.7955834046937524,0.09212646484375,0.2,3280,0.5158387124538422,0.008697128,0.0003,0.0006430729757084918,0.3798671364784241,2565.559326171875,16014.546524429321,,
997.51,7304.201,254,83,5352,1359872,-1.793419614713639,0.096484375,0.2,3290,0.43886637687683105,0.008790478,0.0003,0.0009982367345401145,0.37975960969924927,2690.904052734375,15137.679232025146,,
986.63,7503.561,254,84,5416,1376256,-1.7920731065794826,0.13865966796875,0.2,3300,0.4884716868400574,0.011799661,0.0003,0.002962374568596715,0.37957334518432617,2918.583251953125,17825.77503414154,,
955.7,6999.958,254,85,5480,1392640,-1.789597065001726,0.0939208984375,0.2,3310,0.5723420977592468,0.0083884355,0.0003,0.0010783048119265004,0.3793122172355652,3745.7626953125,16630.398246383666,,
931.1,6768.263,254,86,5545,1409024,-1.786079116165638,0.103692626953125,0.2,3320,0.4792925715446472,0.009606605,0.0003,0.001027127180259413,0.37891528010368347,2169.026611328125,14350.751985740662,,
962.39,7090.7812,254,87,5610,1425408,-1.7837321217171849,0.102459716796875,0.2,3330,0.36202865839004517,0.009795219,0.0003,0.000983140550852113,0.37890586256980896,3658.003173828125,16792.417368316652,,
958.4,7235.2563,254,88,5674,1441792,-1.782831408455968,0.11885986328125,0.2,3340,0.6369961500167847,0.010441916,0.0003,0.0027747321146307513,0.3786924183368683,1720.347412109375,14472.396315574646,,
965.91,7601.511,254,89,5738,1458176,-1.7806678872555495,0.11484375,0.2,3350,0.4176722764968872,0.010047713,0.0003,-1.6491469796164893e-05,0.3785279095172882,3840.225830078125,19620.80078201294,,
990.24,7958.39,254,90,5804,1474560,-1.7768212207593024,0.1154052734375,0.2,3360,0.4258434772491455,0.0098943245,0.0003,0.0016680690227076412,0.3779200315475464,4153.69580078125,16023.366075134278,,
1015.69,8196.581,254,91,5868,1490944,-1.7735200070776045,0.120123291015625,0.2,3370,0.4469568729400635,0.010467175,0.0003,0.0015356585923655074,0.3779359757900238,4033.662841796875,15247.91569404602,,
979.58,7791.7695,254,92,5932,1507328,-1.7731730943545698,0.108184814453125,0.2,3380,0.5226706862449646,0.009780647,0.0003,0.0028274963594412837,0.37783902883529663,4473.52001953125,17732.447871780394,,
943.86,7491.2295,254,93,5997,1523712,-1.7720909779891372,0.10076904296875,0.2,3390,0.4038817286491394,0.009217378,0.0003,0.0009365160904053482,0.3777446448802948,3460.900390625,18363.031469154357,,
967.98,7693.95,254,94,6061,1540096,-1.7723470887169241,0.1042236328125,0.2,3400,0.612412691116333,0.008849775,0.0003,0.0012592103743372719,0.37789681553840637,2947.989990234375,14271.816859817505,,
979.58,7646.927,254,95,6126,1556480,-1.7728513370268046,0.11671142578125,0.2,3410,0.6448855698108673,0.010824889,0.0003,0.0007092903588272748,0.37781670689582825,4510.529296875,17448.998139953612,,
953.8,7305.254,254,96,6191,1572864,-1.7712960156612099,0.104461669921875,0.2,3420,0.6470141708850861,0.009721186,0.0003,0.0007480404670786811,0.3776160478591919,3581.84814453125,13187.892686653136,,
940.83,7257.1694,254,97,6254,1589248,-1.7694862361997366,0.096368408203125,0.2,3430,0.5382996201515198,0.008764975,0.0003,-0.0012175782609119778,0.3774750232696533,8214.1708984375,15641.126370811462,,
,,,,,1600000,-1.7672181486152112,0.1054931640625,0.2,3440,0.5030981600284576,0.008372096,0.0003,0.0009385433275383547,0.3771858811378479,2999.777099609375,15523.472501564025,875.69,3629.1494140625
914.69,6989.614,246,98,6520,1605632,,,,,,,,,,,,,
917.08,7040.321,246,99,6583,1622016,-1.7646394565701484,0.10406494140625,0.2,3450,0.4078366756439209,0.009307135,0.0003,0.0026455022470145196,0.37694087624549866,3026.1552734375,17814.4538274765,,
942.73,7440.828,246,100,6648,1638400,-1.7639955050311982,0.105682373046875,0.2,3460,0.5429303646087646,0.010075988,0.0003,0.0006899169668031391,0.37708520889282227,2938.180419921875,15103.462508010864,,
941.02,7493.689,246,101,6713,1654784,-1.7646306682378055,0.0953369140625,0.2,3470,0.568464457988739,0.009306787,0.0003,-0.0017103800260883872,0.3770328164100647,2176.883056640625,12631.482574653626,,
907.65,6999.1343,246,102,6776,1671168,-1.7620569353923201,0.09451904296875,0.2,3480,0.5609895586967468,0.009572777,0.0003,0.00022614205026911806,0.376526802778244,2372.439453125,12942.921786689758,,
977.03,7701.5464,246,103,6841,1687552,-1.7575867168605328,0.104791259765625,0.2,3490,0.463503897190094,0.009203512,0.0003,0.0006985882397202659,0.37627291679382324,2771.4775390625,15979.10190448761,,
964.05,7733.791,246,104,6905,1703936,-1.7516224623657763,0.105645751953125,0.2,3500,0.5148713290691376,0.009364938,0.0003,-0.00010742806825874141,0.3753712773323059,2397.6826171875,12146.76485338211,,
974.28,7830.1045,246,105,6971,1720320,-1.7462409576401114,0.099505615234375,0.2,3510,0.4518165588378906,0.009299734,0.0003,-0.0005636393371787563,0.375328928232193,1706.3148193359375,15216.970587539672,,
958.53,7684.132,246,106,7034,1736704,-1.7445295539684593,0.10718994140625,0.2,3520,0.39968711137771606,0.009696722,0.0003,0.0005371437951907865,0.37508708238601685,2607.271240234375,15019.670100402833,,
961.36,7589.328,246,107,7098,1753088,-1.7418609919026493,0.1171142578125,0.2,3530,0.6656549870967865,0.010373576,0.0003,-0.00013544998309953372,0.37482428550720215,1955.55908203125,12906.115275573731,,
1025.47,8505.691,246,108,7164,1769472,-1.7380391934886574,0.109124755859375,0.2,3540,0.5813238322734833,0.009835599,0.0003,0.0006099925228227221,0.3743884861469269,4576.5673828125,14026.795343399048,,
1003.84,8282.813,247,109,7228,1785856,-1.7344575490802527,0.107958984375,0.2,3550,0.48687130212783813,0.009272568,0.0003,0.0007244972162880004,0.3741459250450134,3671.704833984375,12709.59106349945,,
1040.32,8756.754,247,110,7295,1802240,-1.7337587534449994,0.085882568359375,0.2,3560,0.6082050800323486,0.008351246,0.0003,-0.0012735609507217305,0.37429279088974,3868.966552734375,11880.208499908447,,
1028.26,8547.031,247,111,7360,1818624,-1.7313129902817308,0.11282958984375,0.2,3570,0.5914382338523865,0.009542568,0.0003,0.00010115554814547068,0.3736760914325714,2146.294189453125,13130.104137229919,,
1048.31,8582.006,247,112,7425,1835008,-1.727850542962551,0.112384033203125,0.2,3580,0.7013570070266724,0.010461489,0.0003,0.0017483526691648877,0.37370508909225464,1354.7830810546875,12113.877785301209,,
1076.36,8697.06,247,113,7489,1851392,-1.7269667866639793,0.1144775390625,0.2,3590,0.711187869310379,0.010469442,0.0003,-0.0005123750760503753,0.37346237897872925,2244.59326171875,10521.237269306182,,
1091.9,8874.881,247,114,7555,1867776,-1.7247046742588281,0.10557861328125,0.2,3600,0.6984582245349884,0.009996562,0.0003,0.0012514334462139232,0.3732568621635437,2889.8544921875,13563.681776237489,,
1076.43,8677.456,247,115,7619,1884160,-1.7203604029491544,0.13095703125,0.2,3610,0.543461412191391,0.011426644,0.0003,0.0013789084207019187,0.3726317882537842,2257.368408203125,13995.748588371276,,
1092.47,8768.987,247,116,7683,1900544,-1.7156667607836424,0.098486328125,0.2,3620,0.579547107219696,0.009478318,0.0003,0.00034962204063049285,0.3724871277809143,2833.147216796875,15709.322958755492,,
1064.11,8539.988,247,117,7747,1916928,-1.7153512342832982,0.112847900390625,0.2,3630,0.6869627237319946,0.009893577,0.0003,-0.0010751255127615877,0.37256187200546265,3492.218505859375,12355.72219209671,,
1064.44,8784.778,247,118,7813,1933312,-1.7133088554255664,0.12593994140625,0.2,3640,0.5990558564662933,0.010977514,0.0003,0.0025197423786266883,0.3720550835132599,3727.77099609375,13353.555414390565,,
1009.21,8483.777,247,119,7879,1949696,-1.7086651218123734,0.08841552734375,0.2,3650,0.43041563034057617,0.008471423,0.0003,0.0013899465549911838,0.3717349171638489,1953.5638427734375,12175.474471569061,,
1029.88,8205.1455,247,120,7944,1966080,-1.7060950476676227,0.110919189453125,0.2,3660,0.4837241768836975,0.0089941,0.0003,0.0012742443570459728,0.371593713760376,4523.30224609375,16871.60701560974,,
1047.99,8436.862,247,121,8011,1982464,-1.7064777907915414,0.141192626953125,0.2,3670,0.537807047367096,0.012077754,0.0003,0.00016207053467951483,0.3718699514865875,1170.931396484375,43527.72882938385,,
1099.75,9144.845,247,122,8078,1998848,-1.7063714179210365,0.11044921875,0.2,3680,0.5073044896125793,0.009311542,0.0003,-0.0009547394982291734,0.37140166759490967,3058.8408203125,12372.083702468872,,
1079.02,8951.895,247,123,8142,2015232,-1.6993337808176876,0.101837158203125,0.2,3690,0.7147888839244843,0.009526063,0.0003,-0.0013220742260273255,0.37059858441352844,1103.2913818359375,10241.992361927032,,
