time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
267,1638400,50,439.17,6120,4711.646,0.00026584645074763104,0.005756998,34702.81378250122,10029.939453125,0.0504486083984375,2960,-1.9127754736691713,0.7885724753141403,0.0001,0.3911990225315094,0.2,,
267,1671168,51,420.6,6239,4845.0,3.2773399652796797e-06,0.005124205,36482.021598052976,6693.57421875,0.0346710205078125,2970,-1.9121089131571352,0.7772512435913086,0.0001,0.39110270142555237,0.2,,
267,1703936,52,428.46,6360,5038.0,0.0013237713708349474,0.004961244,33386.99187088013,10922.818359375,0.0393280029296875,2980,-1.9116401799954474,0.8077613115310669,0.0001,0.3911299705505371,0.2,,
267,1736704,53,416.48,6482,4750.0,8.29257805889938e-07,0.0054847505,38918.47236099243,8360.2158203125,0.042718505859375,2990,-1.911428777128458,0.7826800793409348,0.0001,0.39105772972106934,0.2,,
268,1769472,54,427.78,6601,4775.0,0.0007418800018967886,0.0054411925,41892.51360168457,18309.345703125,0.0402130126953125,3000,-1.910897272452712,0.7646945118904114,0.0001,0.3910219371318817,0.2,,
268,1802240,55,433.46,6722,5057.906,-0.0004502510852944397,0.0066856085,43338.90828475952,9595.529296875,0.0601318359375,3010,-1.9105221108533441,0.739782065153122,0.0001,0.39099574089050293,0.2,,
268,1835008,56,447.71,6842,5346.906,0.0006033333230334392,0.006987028,42308.821534729,8272.625,0.0544158935546875,3020,-1.9102880894206464,0.741521418094635,0.0001,0.3909732401371002,0.2,,
268,1867776,57,411.89,6961,4701.6045,8.615122069386417e-05,0.005743976,34777.85508422852,8105.78271484375,0.04195556640625,3030,-1.9099749263375998,0.7832007706165314,0.0001,0.3909434974193573,0.2,,
268,1900544,58,409.04,7083,4548.9956,0.00019802992101176643,0.006374683,52356.18039855957,21588.23046875,0.052777099609375,3040,-1.9097309705801309,0.7100925147533417,0.0001,0.39094269275665283,0.2,,
268,1933312,59,409.41,7203,4463.0,0.00047131382689258317,0.0059670703,42828.040060424806,10952.4482421875,0.04359130859375,3050,-1.9093783979304135,0.7583861649036407,0.0001,0.3908642530441284,0.2,,
268,1966080,60,419.75,7324,4767.0,0.00033379933611286103,0.0067712422,40514.42336273193,9883.0068359375,0.05380859375,3060,-1.9087522448040546,0.7555989772081375,0.0001,0.3908199667930603,0.2,,
268,1998848,61,391.55,7442,4316.0,0.00012569816726681893,0.0061344677,44896.50030517578,14061.2890625,0.0431671142578125,3070,-1.9079123126342892,0.7551515996456146,0.0001,0.3906974196434021,0.2,,
268,2031616,62,400.95,7563,4297.0,9.005169185911654e-05,0.0046848403,39269.63315505981,24809.369140625,0.02586669921875,3080,-1.9069387362338603,0.7914456427097321,0.0001,0.3906340003013611,0.2,,
