time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
100,313,1638400,8880.913,943.23,5233,0.2,0.00036172549225739204,0.6763810217380524,3460,8464.4306640625,0.0003,-1.9098783701658248,0.030474853515625,0.39094090461730957,0.005039733,30793.595666503905,,
101,313,1654784,8925.784,944.92,5286,0.2,-0.00024909877683967354,0.7356706857681274,3470,9656.724609375,0.0003,-1.909195649623871,0.036053466796875,0.3908311128616333,0.0054071983,30135.13583984375,,
102,312,1671168,9322.961,990.71,5339,0.2,-0.00016905204247450457,0.6382700502872467,3480,12074.9296875,0.0003,-1.9082577958703042,0.038250732421875,0.39077675342559814,0.005710565,33847.05620117187,,
103,313,1687552,9110.649,964.07,5390,0.2,-0.0011165731790242716,0.680226594209671,3490,7903.95556640625,0.0003,-1.9078539326786994,0.034283447265625,0.39074259996414185,0.0051105693,26752.302697753905,,
104,313,1703936,9400.835,988.77,5443,0.2,-0.00011947605671593919,0.6009456217288971,3500,10936.0751953125,0.0003,-1.9074047416448594,0.0271728515625,0.3906824290752411,0.0057052583,34103.752172851564,,
105,312,1720320,9473.894,989.89,5496,0.2,0.0005373933934606611,0.6740657985210419,3510,6815.8828125,0.0003,-1.9069874435663223,0.017474365234375,0.390676885843277,0.0037537056,24792.05145263672,,
106,313,1736704,8749.417,923.52,5548,0.2,-0.0008019950226298533,0.6978941261768341,3520,7465.1123046875,0.0003,-1.9070388317108153,0.040057373046875,0.3906753957271576,0.0061966837,27885.973681640626,,
107,312,1753088,8949.723,938.68,5602,0.2,-0.0006268415760132484,0.5787412226200104,3530,11269.4560546875,0.0003,-1.907039998471737,0.0208251953125,0.39067935943603516,0.004694297,36461.04694824219,,
108,312,1769472,9361.834,974.9,5655,0.2,0.0011651967870420776,0.6847015023231506,3540,6150.55419921875,0.0003,-1.906894688308239,0.05777587890625,0.3906247913837433,0.0059950436,28107.40948486328,,
109,312,1785856,9730.077,1001.11,5709,0.2,0.0003827171807643026,0.7102486491203308,3550,7438.31689453125,0.0003,-1.9061888858675957,0.03958740234375,0.3905465602874756,0.0053402004,27635.688696289064,,
110,312,1802240,9870.077,1013.36,5761,0.2,1.4142798318061977e-05,0.6780944764614105,3560,9063.5576171875,0.0003,-1.905645987391472,0.0308837890625,0.3905298411846161,0.0048062885,29222.127661132814,,
111,312,1818624,9845.167,1025.13,5814,0.2,-0.0005860905468580313,0.632633239030838,3570,10498.140625,0.0003,-1.9055082023143768,0.027349853515625,0.3905188739299774,0.0055241873,38991.228759765625,,
112,312,1835008,9945.59,1033.44,5867,0.2,-0.000990546532557346,0.6740897297859192,3580,8818.12109375,0.0003,-1.9056522250175476,0.021990966796875,0.3905692398548126,0.004630783,28638.17595214844,,
113,312,1851392,9566.198,1010.61,5918,0.2,0.0005933266947977245,0.5866681933403015,3590,10906.77734375,0.0003,-1.9059275045990944,0.021649169921875,0.3905627131462097,0.0044525405,33617.9744140625,,
