time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
9983,654.13885,354,301.0,3538944,108,0.0001,2280.1370485782622,1070,-4.005026213545352,4748.8759765625,0.3423038125038147,0.0040218676,0.042144775390625,0.2,-0.0011769373361858015,0.6631897687911987,,
10076,548.2579,354,301.0,3571712,109,0.0001,5866.5328490495685,1080,-3.992684984114021,2922.52490234375,0.2329462170600891,0.0042199227,0.053179931640625,0.2,0.0020669024946528224,0.6624215245246887,,
10170,678.7459,354,301.0,3604480,110,0.0001,3805.266900420189,1090,-3.9842733636498453,2573.73486328125,0.31113165616989136,0.0072852224,0.077130126953125,0.2,-0.0017581000717427741,0.6603755950927734,,
10265,486.77948,354,301.0,3637248,111,0.0001,6467.2144554138185,1100,-3.9745082835666836,3283.24609375,0.15699690580368042,0.009752499,0.077685546875,0.2,0.0028677785581294303,0.6594616770744324,,
10359,533.1545,354,301.0,3670016,112,0.0001,2008.5421145796777,1110,-3.96076799929142,671.1566772460938,0.40660691261291504,0.00951501,0.088116455078125,0.2,-0.0008007231576357299,0.6563128232955933,,
10453,589.4141,354,301.0,3702784,113,0.0001,2491.3519917964936,1120,-3.9423957974649966,807.2940063476562,0.32195860147476196,0.0055513033,0.054473876953125,0.2,-0.0008393833246373106,0.6528606414794922,,
10548,507.94885,354,301.0,3735552,114,0.0001,3973.584117412567,1130,-3.9214905864559113,1040.960693359375,0.242548406124115,0.0061143553,0.0602386474609375,0.2,-0.0006490929916253662,0.6497586369514465,,
10642,568.62225,354,301.0,3768320,115,0.0001,2873.4039557218553,1140,-3.905244647990912,1515.104736328125,0.29606711864471436,0.0075966613,0.0691009521484375,0.2,-0.0008056274289174326,0.6480653285980225,,
10736,583.4179,354,301.0,3801088,116,0.0001,3132.6710888385774,1150,-3.885794011130929,2854.4853515625,0.2788642644882202,0.0071445596,0.0567596435546875,0.2,-0.0014485316440641326,0.6438064575195312,,
10830,606.07874,353,301.0,3833856,117,0.0001,1892.7961070299148,1160,-3.8661160772666334,4040.83935546875,0.41134095191955566,0.0056213797,0.05130615234375,0.2,-0.0002630811206472572,0.6415156126022339,,
10925,588.6241,353,301.0,3866624,118,0.0001,3269.2314287900927,1170,-3.8571851255372165,1562.34423828125,0.2892221212387085,0.0050191996,0.04923095703125,0.2,0.0010688867756016406,0.6409823894500732,,
11019,591.1971,353,301.0,3899392,119,0.0001,3982.424484372139,1180,-3.845449831523001,4680.80615234375,0.28456586599349976,0.015665978,0.110845947265625,0.2,0.004591777173482114,0.6382285356521606,,
11113,653.99005,353,301.0,3932160,120,0.0001,3033.808905863762,1190,-3.829087516479194,2356.29052734375,0.3370968699455261,0.0049983393,0.067523193359375,0.2,0.000383296605787109,0.6356700658798218,,
11209,610.7171,353,301.0,3964928,121,0.0001,3764.4927154779434,1200,-3.8152347381226717,4646.2265625,0.2460201382637024,0.008393658,0.06614990234375,0.2,0.0012642165815577755,0.6337984800338745,,
11307,596.27826,353,301.0,3997696,122,0.0001,2185.1605325222017,1210,-3.8018697102554144,928.0429077148438,0.38223397731781006,0.005856442,0.047882080078125,0.2,0.0007033144039723993,0.6315661668777466,,
11403,579.6498,353,301.0,4030464,123,0.0001,3724.63046746254,1220,-3.791540124360472,603.7745971679688,0.3061838150024414,0.011284228,0.0959228515625,0.2,0.003967227059047218,0.6302291750907898,,
